Word,Count,Percentage of total,Cumulative percentage of total
Ἥρων,840,0.08,61.8
πατήρ,840,0.08,61.89
Θωυθ,839,0.08,61.97
κγ#,816,0.08,62.05
κη#,815,0.08,62.14
δεσπότης,813,0.08,62.22
ἀξιόω,808,0.08,62.3
προγράφω,801,0.08,62.38
γεωργός,793,0.08,62.46
λοιπός,793,0.08,62.54
μισθόω,781,0.08,62.61
πρέσβυς,772,0.08,62.69
Ἀρσινοΐτης,762,0.08,62.77
κθ#,762,0.08,62.84
παρέχω,755,0.08,62.92
ὀνικός,750,0.07,62.99
Γερμανικός,747,0.07,63.07
ἀλλά,747,0.07,63.14
ἱερός,739,0.07,63.22
χαλκός,734,0.07,63.29
μηδέ,731,0.07,63.36
εὔχομαι,730,0.07,63.44
κϛ#,728,0.07,63.51
τέλος,725,0.07,63.58
κεράτιον,712,0.07,63.65
ἕτερος,711,0.07,63.73
λαμπρός,707,0.07,63.8
τάσσω,704,0.07,63.87
κλῆρος,703,0.07,63.94
ἀνήρ,702,0.07,64.01
Ἀλέξανδρος,697,0.07,64.08
σός,692,0.07,64.15
ἴδιος,690,0.07,64.21
τράπεζα,689,0.07,64.28
ἰνδικτίων,688,0.07,64.35
ἡμιωβέλιον,671,0.07,64.42
ἑαυτοῦ,669,0.07,64.49
Ἰσίδωρος,662,0.07,64.55
διώβολον,652,0.07,64.62
βούλομαι,647,0.06,64.68
τριώβολον,642,0.06,64.75
κζ#,639,0.06,64.81
τετρώβολον,632,0.06,64.87
νῦν,631,0.06,64.94
καλός,631,0.06,65.0
Ἀντωνεῖνος,629,0.06,65.06
ἐμός,629,0.06,65.13
βασιλεύς,625,0.06,65.19
χείρ,623,0.06,65.25
ὅπως,619,0.06,65.31
Τιβέριος,613,0.06,65.37
πάρειμι,605,0.06,65.43
μόνος,603,0.06,65.49
Ἰωάννης,603,0.06,65.55
ἐπιδίδωμι,599,0.06,65.61
Βορέας,597,0.06,65.67
Κλαύδιος,595,0.06,65.73
μέτρον,592,0.06,65.79
ἀντίγραφον,587,0.06,65.85
χρυσός,585,0.06,65.91
καθαρός,583,0.06,65.97
μερισμός,580,0.06,66.03
Θέων,574,0.06,66.08
δίκαιος,573,0.06,66.14
γυνή,569,0.06,66.2
ἑκατόν,569,0.06,66.26
νέος,567,0.06,66.31
Χοίακ,565,0.06,66.37
ἱερεύς,563,0.06,66.42
δέω,558,0.06,66.48
προσδιαγράφω,555,0.06,66.54
ιϛ´#,551,0.06,66.59
μίσθωσις,551,0.06,66.65
φόρος,549,0.05,66.7
ἀποστέλλω,546,0.05,66.76
οὐδείς,543,0.05,66.81
Σεουῆρος,532,0.05,66.86
ἐπερωτάω,530,0.05,66.92
μόνον,527,0.05,66.97
Δίδυμος,526,0.05,67.02
χωματικός,523,0.05,67.07
ἐκφόριον,522,0.05,67.13
πρό,520,0.05,67.18
ἀσπάζομαι,520,0.05,67.23
Στοτοητις,517,0.05,67.28
ὑπατεία,517,0.05,67.33
πρότερος,508,0.05,67.38
ὅδε,506,0.05,67.43
κληρονόμος,505,0.05,67.49
παραδίδωμι,501,0.05,67.54
ἐπιστολή,500,0.05,67.59
νομισμάτιον,498,0.05,67.64
ἐθέλω,496,0.05,67.68
ϛ´#,493,0.05,67.73
2#,490,0.05,67.78
ἕκτος,488,0.05,67.83
μέχρι,487,0.05,67.88
τόκος,484,0.05,67.93
πράσσω,483,0.05,67.98
Λούκιος,480,0.05,68.03
Ἑρμῆς,480,0.05,68.07
ὀφείλω,476,0.05,68.12
ἀπηλιώτης,474,0.05,68.17
λίψ,469,0.05,68.22
Σοκνοπαίος,469,0.05,68.26
ζυγόν,466,0.05,68.31
ἑπτά,464,0.05,68.36
