Word,Count,Percentage of total,Cumulative percentage of total
φρόνιμος,27,0.09,66.15
ταὐτός,27,0.09,66.24
ποικίλος,27,0.09,66.33
δημοτικός,26,0.09,66.42
παμπολύς,26,0.09,66.51
ὅμορος,26,0.09,66.6
ὡραῖος,26,0.09,66.69
γεωργός,26,0.09,66.77
δυσχερής,26,0.09,66.86
εὐφυής,26,0.09,66.95
μείων,25,0.08,67.03
ἀριστερός,25,0.08,67.12
ἄπειρος2,25,0.08,67.2
ἔμπειρος,25,0.08,67.29
παντοδαπός,25,0.08,67.37
ὠφέλιμος,25,0.08,67.45
ἄγριος,25,0.08,67.54
γνήσιος,25,0.08,67.62
θῆλυς,25,0.08,67.71
διπλάσιος,25,0.08,67.79
αὐτόματος,24,0.08,67.87
ὑψηλός,24,0.08,67.95
πιστός1,24,0.08,68.03
ἐνεργός,24,0.08,68.12
χάλκεος,24,0.08,68.2
ἄλογος,24,0.08,68.28
ξένος2,24,0.08,68.36
μισθοφόρος,24,0.08,68.44
ἐπίλεκτος,24,0.08,68.52
ψιλός,23,0.08,68.6
ταπεινός,23,0.08,68.68
ἀθάνατος,23,0.08,68.75
θεοφιλής,23,0.08,68.83
ἀκέραιος,23,0.08,68.91
ἀργύρεος,22,0.07,68.98
θρασύς,22,0.07,69.06
ἀσεβής,22,0.07,69.13
μαλακός,22,0.07,69.21
διπλόος,22,0.07,69.28
περιφανής,22,0.07,69.35
λυπηρός,22,0.07,69.43
τίμιος,22,0.07,69.5
θαυμάσιος,22,0.07,69.58
ὑπεύθυνος,22,0.07,69.65
οἰκονομικός,22,0.07,69.72
ξύλινος,21,0.07,69.8
ἑκούσιος,21,0.07,69.87
καταφανής,21,0.07,69.94
ἀνδρεῖος,21,0.07,70.01
ἡλίκος,21,0.07,70.08
πορφύρεος,21,0.07,70.15
οὐδέτερος,21,0.07,70.22
πικρός,21,0.07,70.29
στενός,21,0.07,70.36
εὐτελής,21,0.07,70.43
βοηθός,21,0.07,70.5
πρᾶος,21,0.07,70.57
ἥμερος,21,0.07,70.65
κρατύς,21,0.07,70.72
βαρβαρικός,20,0.07,70.78
δαιμόνιος,20,0.07,70.85
εὔπορος,20,0.07,70.92
σιδήρεος,20,0.07,70.99
ἀνόητος,20,0.07,71.05
ἀγεννής,20,0.07,71.12
