Word,Count,Percentage of total,Cumulative percentage of total
εὔσελμος,29,0.08,57.33
κενός,28,0.08,57.41
ἑτοῖμος,28,0.08,57.49
μέλεος,28,0.08,57.57
μικρός,28,0.08,57.65
ἐλεύθερος,28,0.08,57.73
μάταιος,28,0.08,57.81
εὔφρων,28,0.08,57.89
δαιμόνιος,28,0.08,57.96
ἔξοχος,28,0.08,58.04
ὑπερφίαλος,28,0.08,58.12
χαλκήρης,28,0.08,58.2
ἤπιος,28,0.08,58.28
μειλίχιος,28,0.08,58.36
εὐπλόκαμος,28,0.08,58.44
ὄλβιος,27,0.08,58.51
νεκρός,27,0.08,58.59
χλωρός,27,0.08,58.66
πλέως,27,0.08,58.74
ὑγρός,27,0.08,58.82
τέλειος,27,0.08,58.89
ἀτρύγετος,27,0.08,58.97
ῥοδοδάκτυλος,27,0.08,59.04
περικλυτός,27,0.08,59.12
ἐρατεινός,27,0.08,59.2
ἀρηίφιλος,27,0.08,59.27
δολιχόσκιος,27,0.08,59.35
Καδμεῖος,26,0.07,59.42
γαιήοχος,26,0.07,59.49
τλήμων,26,0.07,59.57
χαρίεις,26,0.07,59.64
Διοτρεφής,26,0.07,59.71
κυάνεος,26,0.07,59.79
σύμμαχος,25,0.07,59.86
ἄμβροτος,25,0.07,59.93
δύσμορος,25,0.07,60.0
λεπτός,25,0.07,60.07
ἔισος,25,0.07,60.14
χαλκοχίτων,25,0.07,60.21
λιπαρός,25,0.07,60.28
ἴκελος,25,0.07,60.35
ἐναλίγκιος,25,0.07,60.42
ξένιος,25,0.07,60.49
ταὐτός,24,0.07,60.56
λωίων,24,0.07,60.62
ἔκπαγλος,24,0.07,60.69
ἀρείων,24,0.07,60.76
μάκαρ,24,0.07,60.83
ἀπήμων,24,0.07,60.89
πέπων,24,0.07,60.96
ἀθρόος,24,0.07,61.03
αἰζηός,24,0.07,61.1
μελιηδής,24,0.07,61.16
ἠερόεις,24,0.07,61.23
ἄθλιος,23,0.06,61.3
θέσφατος,23,0.06,61.36
Ἡράκλειος,23,0.06,61.43
ἄφθιτος,23,0.06,61.49
καλλιπάρηος,23,0.06,61.56
πατρώιος,23,0.06,61.62
ἐτεός,23,0.06,61.68
πελώριος,23,0.06,61.75
ἀστερόεις,23,0.06,61.81
ἱρός,23,0.06,61.88
δαιδάλεος,23,0.06,61.94
εἴκελος,23,0.06,62.01
ἀτάσθαλος,23,0.06,62.07
οἰκτρός,22,0.06,62.13
στονόεις,22,0.06,62.2
ἐπώνυμος,22,0.06,62.26
σεμνός,22,0.06,62.32
ἐπιχθόνιος,22,0.06,62.38
κελαινεφής,22,0.06,62.44
δεξιτερός,22,0.06,62.51
ἁπαλός,22,0.06,62.57
δοιοί,22,0.06,62.63
σιγαλόεις,22,0.06,62.69
ξεστός,22,0.06,62.75
πυκινός,22,0.06,62.81
κλεινός,21,0.06,62.87
πρόπας,21,0.06,62.93
πύματος,21,0.06,62.99
ὕπτιος,21,0.06,63.05
ἀπείρων,21,0.06,63.11
βάρβαρος,21,0.06,63.17
πλησίος,21,0.06,63.23
νέατος,21,0.06,63.29
ἀλλότριος,21,0.06,63.35
οὐλόμενος,21,0.06,63.41
κύδιστος,21,0.06,63.46
ἄαπτος,21,0.06,63.52
ἀργυρόηλος,21,0.06,63.58
πολυμήχανος,21,0.06,63.64
ἱμερόεις,21,0.06,63.7
κλειτός,21,0.06,63.76
χείρων,21,0.06,63.82
δουρικλειτός,21,0.06,63.88
αἴσιμος,21,0.06,63.94
ἀρωγός,20,0.06,63.99
ἄψορρος,20,0.06,64.05
̓ἀργεῖος,20,0.06,64.11
ἀκάματος,20,0.06,64.16
παννύχιος,20,0.06,64.22
οὖλος,20,0.06,64.27
ἄναλκις,20,0.06,64.33
εὔξοος,20,0.06,64.39
πρηνής,20,0.06,64.44
εὐεργής,20,0.06,64.5
δακρυόεις,20,0.06,64.56
ἥμισυς,20,0.06,64.61
εὔξεστος,20,0.06,64.67
φοίνιος,19,0.05,64.72
ἔχθιστος,19,0.05,64.78
ἐφέστιος,19,0.05,64.83
ποτός,19,0.05,64.88
ἔσχατος,19,0.05,64.94
ἐτήτυμος,19,0.05,64.99
χθόνιος,19,0.05,65.04
ὑλήεις,19,0.05,65.1
ἕκηλος,19,0.05,65.15
μόρσιμος,19,0.05,65.2
ὕπατος,19,0.05,65.26
κουρίδιος,19,0.05,65.31
βουληφόρος,19,0.05,65.36
ἀνδροφόνος,19,0.05,65.42
ἄσβεστος,19,0.05,65.47
ἀγανός,19,0.05,65.52
τραχύς,19,0.05,65.58
ποδαρκής,19,0.05,65.63
πολύτλας,19,0.05,65.68
νόστιμος,19,0.05,65.74
κράτιστος,18,0.05,65.79
πτωχός,18,0.05,65.84
ἔνδικος,18,0.05,65.89
ἀρχαῖος,18,0.05,65.94
αἰπεινός,18,0.05,65.99
ὁμοῖος,18,0.05,66.04
ἄρρηκτος,18,0.05,66.09
ἄφρων,18,0.05,66.14
σῶς,18,0.05,66.19
σφός,18,0.05,66.24
τέρην,18,0.05,66.29
Τρωιός,18,0.05,66.34
βροτολοιγός,18,0.05,66.39
σιδήρεος,18,0.05,66.45
λευγαλέος,18,0.05,66.5
δόλιος,17,0.05,66.54
χρηστός,17,0.05,66.59
δείλαιος,17,0.05,66.64
πόντιος,17,0.05,66.69
ἥσσων,17,0.05,66.74
γυμνός,17,0.05,66.78
βασίλειος,17,0.05,66.83
ἰσόθεος,17,0.05,66.88
ἀκέων,17,0.05,66.93
ἀμφιγύεις,17,0.05,66.97
ὑπερμενής,17,0.05,67.02
πτολίπορθος,17,0.05,67.07
θοῦρος,17,0.05,67.12
ἐρίηρος,17,0.05,67.17
δολιχός,17,0.05,67.21
ἐλαφρός,17,0.05,67.26
ἰχθυόεις,17,0.05,67.31
παιπαλόεις,17,0.05,67.36
ἐρῆμος,16,0.04,67.4
ἁμός,16,0.04,67.45
καίριος,16,0.04,67.49
ὅμαιμος,16,0.04,67.54
ἐλεεινός,16,0.04,67.58
ὠμός,16,0.04,67.63
οἰκεῖος,16,0.04,67.67
αἰόλος,16,0.04,67.72
ἠνεμόεις,16,0.04,67.76
αἴθων,16,0.04,67.81
εὐμενής,16,0.04,67.85
τρίτατος,16,0.04,67.9
ἐπιείκελος,16,0.04,67.94
ὀιζυρός,16,0.04,67.99
τερπικέραυνος,16,0.04,68.03
ἐναίσιμος,16,0.04,68.08
θυμαλγής,16,0.04,68.12
κραιπνός,16,0.04,68.17
μῶνυξ,16,0.04,68.21
μέλινος,16,0.04,68.26
ἠεροειδής,16,0.04,68.3
εὐστέφανος,16,0.04,68.35
πολύχρυσος,15,0.04,68.39
τίμιος,15,0.04,68.43
ἐγχώριος,15,0.04,68.47
ποντόπορος,15,0.04,68.52
νήιος,15,0.04,68.56
Ἰκάριος,15,0.04,68.6
ἀναιδής,15,0.04,68.64
ψυχρός,15,0.04,68.68
ἀγήραος,15,0.04,68.73
θαμέες,15,0.04,68.77
ἐριβῶλαξ,15,0.04,68.81
σκιόεις,15,0.04,68.85
πρυμνήσιος,15,0.04,68.89
βοῶπις,15,0.04,68.94
χρυσόθρονος,15,0.04,68.98
ἱππόβοτος,15,0.04,69.02
Ἐπειός,15,0.04,69.06
δινήεις,15,0.04,69.11
ἐρατός,15,0.04,69.15
ἀγχίμολος,15,0.04,69.19
κραταιός,15,0.04,69.23
ποιητός,15,0.04,69.27
δήμιος,15,0.04,69.32
βραχύς,14,0.04,69.36
σώφρων,14,0.04,69.4
νόθος,14,0.04,69.43
ἀργυρότοξος,14,0.04,69.47
ζάθεος,14,0.04,69.51
ὠκύπορος,14,0.04,69.55
ἀμφικύπελλος,14,0.04,69.59
νήδυμος,14,0.04,69.63
ζείδωρος,14,0.04,69.67
ἄκριτος,14,0.04,69.71
ἀτειρής,14,0.04,69.75
ἐτώσιος,14,0.04,69.79
ὁμοίιος,14,0.04,69.83
ὁμός,14,0.04,69.87
ὀμφαλόεις,14,0.04,69.91
Τελαμώνιος,14,0.04,69.95
θοῦρις,14,0.04,69.99
ἑκηβόλος,13,0.04,70.02
ἀσφαλής,13,0.04,70.06
οὐράνιος,13,0.04,70.1
νιφόεις,13,0.04,70.13
ἀλγίων,13,0.04,70.17
πρέσβυς,13,0.04,70.21
ἀγακλειτός,13,0.04,70.24
λιγυρός,13,0.04,70.28
δούλιος,13,0.04,70.31
σωτήριος,13,0.04,70.35
τελεσφόρος,13,0.04,70.39
ἀπερείσιος,13,0.04,70.42
πανημέριος,13,0.04,70.46
ἠμαθόεις,13,0.04,70.5
ἠβαιός,13,0.04,70.53
Αἰτωλός,13,0.04,70.57
καμπύλος,13,0.04,70.61
ἀλλοδαπός,13,0.04,70.64
ἐρικυδής,13,0.04,70.68
πολυδαίδαλος,13,0.04,70.72
ταχύπωλος,13,0.04,70.75
Ἰδαῖος,13,0.04,70.79
ὀξυόεις,13,0.04,70.83
καταθνητός,13,0.04,70.86
ἴφιος,13,0.04,70.9
ἐρεβεννός,13,0.04,70.94
ἐρίγδουπος,13,0.04,70.97
Ἴλιος,13,0.04,71.01
ἀκαχμένος,13,0.04,71.05
ῥᾴδιος,13,0.04,71.08
πέλωρος,13,0.04,71.12
μωρός,12,0.03,71.15
ἐναργής,12,0.03,71.19
συγγενής,12,0.03,71.22
στυγνός,12,0.03,71.25
ἐμφανής,12,0.03,71.29
ἄελπτος,12,0.03,71.32
ἀμφίγυος,12,0.03,71.36
μείων,12,0.03,71.39
ἕλιξ,12,0.03,71.42
πολέμιος,12,0.03,71.46
ἱππικός,12,0.03,71.49
ὑπέρτερος,12,0.03,71.52
εὐσεβής,12,0.03,71.56
προγενής,12,0.03,71.59
ἔτυμος,12,0.03,71.63
χθιζός,12,0.03,71.66
εὔζωνος,12,0.03,71.69
εὔδμητος,12,0.03,71.73
πολεμήιος,12,0.03,71.76
δυσηχής,12,0.03,71.79
εὔτυκτος,12,0.03,71.83
ὑψερεφής,12,0.03,71.86
ἐπιδευής,12,0.03,71.9
ἀκόρητος,12,0.03,71.93
καθαρός,12,0.03,71.96
μενοεικής,12,0.03,72.0
ἀριδείκετος,12,0.03,72.03
βέλτερος,12,0.03,72.06
ἀκηδής,12,0.03,72.1
ἁλμυρός,12,0.03,72.13
ἕσπερος,11,0.03,72.16
Θράκιος,11,0.03,72.19
ὁμόσπορος,11,0.03,72.22
τυφλός,11,0.03,72.26
ἐγγενής,11,0.03,72.29
σύμπας,11,0.03,72.32
ὀλέθριος,11,0.03,72.35
γενναῖος,11,0.03,72.38
ἀλγεινός,11,0.03,72.41
ἄσμενος,11,0.03,72.44
δισσός,11,0.03,72.47
θυραῖος,11,0.03,72.5
ἀδινός,11,0.03,72.53
ἄναυδος,11,0.03,72.56
γυναικεῖος,11,0.03,72.6
πλέος,11,0.03,72.63
ἐρεμνός,11,0.03,72.66
εὐγενής,11,0.03,72.69
ἀίδηλος,11,0.03,72.72
ἄπιστος,11,0.03,72.75
ἄθαπτος,11,0.03,72.78
πλατύς,11,0.03,72.81
δνοφερός,11,0.03,72.84
ἵππειος,11,0.03,72.87
χειμέριος,11,0.03,72.9
ἄγραυλος,11,0.03,72.94
ἠγάθεος,11,0.03,72.97
ἀπηνής,11,0.03,73.0
Ἑκάεργος,11,0.03,73.03
εὐρυάγυια,11,0.03,73.06
ἐαρινός,11,0.03,73.09
Ἰθακήσιος,11,0.03,73.12
πετεινός,11,0.03,73.15
μενεπτόλεμος,11,0.03,73.18
τηλύγετος,11,0.03,73.21
ἱπποδάσεια,11,0.03,73.25
πίσυνος,11,0.03,73.28
εὔκυκλος,11,0.03,73.31
θαρσαλέος,11,0.03,73.34
βροτόεις,11,0.03,73.37
ἐναντίβιος,11,0.03,73.4
ἀσπάσιος,11,0.03,73.43
Ἀχαιικός,11,0.03,73.46
ἐρυθρός,11,0.03,73.49
κρατερόφρων,11,0.03,73.52
λαιψηρός,11,0.03,73.55
ταρφύς,11,0.03,73.59
κυανόπρῳρος,11,0.03,73.62
ὑπέρβιος,11,0.03,73.65
δύσφορος,10,0.03,73.68
φοβερός,10,0.03,73.7
ἀργός,10,0.03,73.73
μαντικός,10,0.03,73.76
ψευδής,10,0.03,73.79
βρότειος,10,0.03,73.82
βαιός,10,0.03,73.84
περισσός,10,0.03,73.87
δύσποτμος,10,0.03,73.9
ἄγχιστος,10,0.03,73.93
εὐδαίμων,10,0.03,73.96
πλεκτός,10,0.03,73.98
δυστυχής,10,0.03,74.01
οὐδαμός,10,0.03,74.04
βραδύς,10,0.03,74.07
λυτήριος,10,0.03,74.1
αἱματηρός,10,0.03,74.13
ὅσιος,10,0.03,74.15
ἄκλαυστος,10,0.03,74.18
ὁμηγερής,10,0.03,74.21
κορωνίς,10,0.03,74.24
ἐπιεικής,10,0.03,74.27
ἁδινός,10,0.03,74.29
εὐρύχορος,10,0.03,74.32
ποιήεις,10,0.03,74.35
ὁπλότερος,10,0.03,74.38
ποδήνεμος,10,0.03,74.41
παλαιγενής,10,0.03,74.43
κολλητός,10,0.03,74.46
λεῖος,10,0.03,74.49
καρτερόθυμος,10,0.03,74.52
ἀκήριος,10,0.03,74.55
εὔτροχος,10,0.03,74.58
ὁπλότατος,10,0.03,74.6
ἐπήρατος,10,0.03,74.63
Αἰγύπτιος,10,0.03,74.66
ἀργυρόπεζα,10,0.03,74.69
δριμύς,10,0.03,74.72
γναμπτός,10,0.03,74.74
ταλασίφρων,10,0.03,74.77
αὖος,10,0.03,74.8
ἰθύς,10,0.03,74.83
ἠλίβατος,10,0.03,74.86
φιλοπόλεμος,10,0.03,74.88
μείλιχος,10,0.03,74.91
κυδρός,10,0.03,74.94
ἐρίδουπος,10,0.03,74.97
ἐπηετανός,10,0.03,75.0
εὐκλεής,9,0.03,75.02
ἔκγονος,9,0.03,75.05
λύκειος,9,0.03,75.07
ἀραῖος,9,0.03,75.1
ἄρρητος,9,0.03,75.12
ἀνόσιος,9,0.03,75.15
Θηβαῖος,9,0.03,75.17
